corner_tag,mos_corner,res_corner,temp_c,vsup_v,fref_hz,dut_variant,twin_r_s,twin_f_s
mos_ff_res_bcs_27c_3.3v_24p4MHz_ideal0.00,mos_ff,res_bcs,27,3.3,24.4e6,ideal0.00,5.73342e-09,5.19953e-09
mos_ff_res_bcs_27c_3.3v_24p4MHz_ideal0.20,mos_ff,res_bcs,27,3.3,24.4e6,ideal0.20,6.83573e-09,5.96990e-09
mos_ff_res_bcs_125c_3.3v_24p4MHz_ideal-0.20,mos_ff,res_bcs,125,3.3,24.4e6,ideal-0.20,5.58155e-09,5.16377e-09
mos_ff_res_bcs_125c_3.3v_24p4MHz_ideal0.00,mos_ff,res_bcs,125,3.3,24.4e6,ideal0.00,6.90875e-09,6.11814e-09
mos_ff_res_bcs_125c_3.3v_24p4MHz_ideal0.20,mos_ff,res_bcs,125,3.3,24.4e6,ideal0.20,8.23594e-09,6.73177e-09
mos_sf_res_typ_-40c_3.3v_24p4MHz_ideal-0.20,mos_sf,res_typ,-40,3.3,24.4e6,ideal-0.20,4.36177e-09,4.50533e-09
mos_sf_res_typ_-40c_3.3v_24p4MHz_ideal0.00,mos_sf,res_typ,-40,3.3,24.4e6,ideal0.00,5.39924e-09,5.51348e-09
mos_sf_res_typ_-40c_3.3v_24p4MHz_ideal0.20,mos_sf,res_typ,-40,3.3,24.4e6,ideal0.20,6.43672e-09,6.39276e-09
mos_sf_res_typ_27c_3.3v_24p4MHz_ideal-0.20,mos_sf,res_typ,27,3.3,24.4e6,ideal-0.20,4.98291e-09,5.08259e-09
mos_sf_res_typ_27c_3.3v_24p4MHz_ideal0.00,mos_sf,res_typ,27,3.3,24.4e6,ideal0.00,6.16764e-09,6.13840e-09
mos_sf_res_typ_27c_3.3v_24p4MHz_ideal0.20,mos_sf,res_typ,27,3.3,24.4e6,ideal0.20,7.35236e-09,6.95220e-09
mos_sf_res_typ_125c_3.3v_24p4MHz_ideal-0.20,mos_sf,res_typ,125,3.3,24.4e6,ideal-0.20,5.97870e-09,6.04201e-09
mos_sf_res_typ_125c_3.3v_24p4MHz_ideal0.00,mos_sf,res_typ,125,3.3,24.4e6,ideal0.00,7.39877e-09,7.05510e-09
mos_sf_res_typ_125c_3.3v_24p4MHz_ideal0.20,mos_sf,res_typ,125,3.3,24.4e6,ideal0.20,8.81884e-09,7.59618e-09
mos_fs_res_typ_-40c_3.3v_24p4MHz_ideal-0.20,mos_fs,res_typ,-40,3.3,24.4e6,ideal-0.20,5.14651e-09,3.96312e-09
mos_fs_res_typ_-40c_3.3v_24p4MHz_ideal0.00,mos_fs,res_typ,-40,3.3,24.4e6,ideal0.00,6.38082e-09,4.74483e-09
mos_fs_res_typ_-40c_3.3v_24p4MHz_ideal0.20,mos_fs,res_typ,-40,3.3,24.4e6,ideal0.20,7.61513e-09,5.31215e-09
mos_fs_res_typ_27c_3.3v_24p4MHz_ideal-0.20,mos_fs,res_typ,27,3.3,24.4e6,ideal-0.20,5.84018e-09,4.45421e-09
mos_fs_res_typ_27c_3.3v_24p4MHz_ideal0.00,mos_fs,res_typ,27,3.3,24.4e6,ideal0.00,7.23988e-09,5.20524e-09
mos_fs_res_typ_27c_3.3v_24p4MHz_ideal0.20,mos_fs,res_typ,27,3.3,24.4e6,ideal0.20,8.63958e-09,5.62371e-09
mos_fs_res_typ_125c_3.3v_24p4MHz_ideal-0.20,mos_fs,res_typ,125,3.3,24.4e6,ideal-0.20,6.93540e-09,5.22891e-09
mos_fs_res_typ_125c_3.3v_24p4MHz_ideal0.00,mos_fs,res_typ,125,3.3,24.4e6,ideal0.00,8.59544e-09,5.80779e-09
mos_fs_res_typ_125c_3.3v_24p4MHz_ideal0.20,mos_fs,res_typ,125,3.3,24.4e6,ideal0.20,1.02555e-08,5.87123e-09
mos_tt_res_wcs_-40c_3.3v_24p4MHz_ideal-0.20,mos_tt,res_wcs,-40,3.3,24.4e6,ideal-0.20,4.72653e-09,4.21678e-09
mos_tt_res_wcs_-40c_3.3v_24p4MHz_ideal0.00,mos_tt,res_wcs,-40,3.3,24.4e6,ideal0.00,5.85573e-09,5.11591e-09
mos_tt_res_wcs_-40c_3.3v_24p4MHz_ideal0.20,mos_tt,res_wcs,-40,3.3,24.4e6,ideal0.20,6.98492e-09,5.84528e-09
mos_tt_res_wcs_27c_3.3v_24p4MHz_ideal-0.20,mos_tt,res_wcs,27,3.3,24.4e6,ideal-0.20,5.38353e-09,4.75591e-09
mos_tt_res_wcs_27c_3.3v_24p4MHz_ideal0.00,mos_tt,res_wcs,27,3.3,24.4e6,ideal0.00,6.66892e-09,5.66582e-09
mos_tt_res_wcs_27c_3.3v_24p4MHz_ideal0.20,mos_tt,res_wcs,27,3.3,24.4e6,ideal0.20,7.95430e-09,6.28604e-09
mos_tt_res_wcs_125c_3.3v_24p4MHz_ideal-0.20,mos_tt,res_wcs,125,3.3,24.4e6,ideal-0.20,6.42724e-09,5.63266e-09
mos_tt_res_wcs_125c_3.3v_24p4MHz_ideal0.00,mos_tt,res_wcs,125,3.3,24.4e6,ideal0.00,7.96002e-09,6.43445e-09
mos_tt_res_wcs_125c_3.3v_24p4MHz_ideal0.20,mos_tt,res_wcs,125,3.3,24.4e6,ideal0.20,9.49280e-09,6.73258e-09
mos_tt_res_bcs_-40c_3.3v_24p4MHz_ideal-0.20,mos_tt,res_bcs,-40,3.3,24.4e6,ideal-0.20,4.72653e-09,4.21678e-09
mos_tt_res_bcs_-40c_3.3v_24p4MHz_ideal0.00,mos_tt,res_bcs,-40,3.3,24.4e6,ideal0.00,5.85573e-09,5.11591e-09
mos_tt_res_bcs_-40c_3.3v_24p4MHz_ideal0.20,mos_tt,res_bcs,-40,3.3,24.4e6,ideal0.20,6.98492e-09,5.84528e-09
mos_tt_res_bcs_27c_3.3v_24p4MHz_ideal-0.20,mos_tt,res_bcs,27,3.3,24.4e6,ideal-0.20,5.38353e-09,4.75591e-09
mos_tt_res_bcs_27c_3.3v_24p4MHz_ideal0.00,mos_tt,res_bcs,27,3.3,24.4e6,ideal0.00,6.66892e-09,5.66582e-09
mos_tt_res_bcs_27c_3.3v_24p4MHz_ideal0.20,mos_tt,res_bcs,27,3.3,24.4e6,ideal0.20,7.95430e-09,6.28604e-09
mos_tt_res_bcs_125c_3.3v_24p4MHz_ideal-0.20,mos_tt,res_bcs,125,3.3,24.4e6,ideal-0.20,6.42724e-09,5.63266e-09
mos_tt_res_bcs_125c_3.3v_24p4MHz_ideal0.00,mos_tt,res_bcs,125,3.3,24.4e6,ideal0.00,7.96002e-09,6.43445e-09
mos_tt_res_bcs_125c_3.3v_24p4MHz_ideal0.20,mos_tt,res_bcs,125,3.3,24.4e6,ideal0.20,9.49280e-09,6.73258e-09
mos_tt_res_typ_-40c_2.97v_24p4MHz_ideal0.00,mos_tt,res_typ,-40,2.97,24.4e6,ideal0.00,6.51924e-09,5.30233e-09
mos_tt_res_typ_-40c_2.97v_24p4MHz_ideal-0.20,mos_tt,res_typ,-40,2.97,24.4e6,ideal-0.20,5.26082e-09,4.42382e-09
mos_tt_res_typ_-40c_3.63v_24p4MHz_ideal0.00,mos_tt,res_typ,-40,3.63,24.4e6,ideal0.00,5.36309e-09,4.96779e-09
mos_tt_res_typ_-40c_3.63v_24p4MHz_ideal-0.20,mos_tt,res_typ,-40,3.63,24.4e6,ideal-0.20,4.32997e-09,4.06635e-09
mos_tt_res_typ_27c_2.97v_24p4MHz_ideal0.00,mos_tt,res_typ,27,2.97,24.4e6,ideal0.00,7.42605e-09,5.85423e-09
mos_tt_res_typ_27c_2.97v_24p4MHz_ideal-0.20,mos_tt,res_typ,27,2.97,24.4e6,ideal-0.20,5.99347e-09,5.01491e-09
mos_tt_res_typ_27c_3.63v_24p4MHz_ideal0.00,mos_tt,res_typ,27,3.63,24.4e6,ideal0.00,6.09860e-09,5.49736e-09
mos_tt_res_typ_27c_3.63v_24p4MHz_ideal-0.20,mos_tt,res_typ,27,3.63,24.4e6,ideal-0.20,4.92412e-09,4.55862e-09
mos_tt_res_typ_125c_2.97v_24p4MHz_ideal0.00,mos_tt,res_typ,125,2.97,24.4e6,ideal0.00,8.84385e-09,6.54445e-09
mos_tt_res_typ_125c_2.97v_24p4MHz_ideal-0.20,mos_tt,res_typ,125,2.97,24.4e6,ideal-0.20,7.13986e-09,5.92993e-09
mos_tt_res_typ_125c_3.63v_24p4MHz_ideal0.00,mos_tt,res_typ,125,3.63,24.4e6,ideal0.00,7.28177e-09,6.28944e-09
mos_tt_res_typ_125c_3.63v_24p4MHz_ideal-0.20,mos_tt,res_typ,125,3.63,24.4e6,ideal-0.20,5.88042e-09,5.38424e-09
mos_tt_res_typ_27c_3.3v_3p5MHz_ideal0.00,mos_tt,res_typ,27,3.3,3.5e6,ideal0.00,6.66892e-09,5.66582e-09
mos_tt_res_typ_27c_3.3v_12p0MHz_ideal0.00,mos_tt,res_typ,27,3.3,12e6,ideal0.00,6.66892e-09,5.66582e-09
mos_ff_res_bcs_-40c_3.63v_24p4MHz_ideal-0.20,mos_ff,res_bcs,-40,3.63,24.4e6,ideal-0.20,3.68750e-09,3.61570e-09
mos_ff_res_bcs_-40c_3.3v_24p4MHz_ideal-0.20,mos_ff,res_bcs,-40,3.3,24.4e6,ideal-0.20,4.04319e-09,3.75455e-09
mos_ff_res_bcs_-40c_3.63v_24p4MHz_ideal0.00,mos_ff,res_bcs,-40,3.63,24.4e6,ideal0.00,4.56431e-09,4.45456e-09
mos_ff_res_bcs_-40c_3.3v_24p4MHz_ideal0.00,mos_ff,res_bcs,-40,3.3,24.4e6,ideal0.00,5.00599e-09,4.61071e-09
